和鸾雍雍,8644,9.2,51
你心底有花开,37523,8.8,327
我们的5次求婚,12831,9.2,34
一个朋友,24900,9.0,120
相濡以沫,5794,9.8,20
向爱而生,38489,9.2,101
金融街没有爱情,435579,8.2,2856
潮汐预报,11957,8.6,81
流沙,167,,
美国职场宫心计,15402,9.0,92
念念,38180,9.0,242
泸沽湖之夜,135356,8.2,2010
美国职场宫心计--番外篇,1639,9.4,28
水落鱼梁浅,37102,8.0,486
在巅峰上高潮,7299,7.4,20
急诊室伤痕女神：生命之光,30379,9.2,123
新闻将在秋日死去,64616,8.8,621
鼓浪屿,1787,,
关于结婚的一场倒叙,8235,8.4,40
女帅,103306,8.6,1227
性格与慢性病,135241,9.0,522
朝阳门,8436,9.0,25
急诊室伤痕女神,165935,8.6,971
单身在线（特别修订版）,215447,9.6,589
涉外助理,270165,8.8,586
手臂糖,14672,8.4,71
空港,454345,8.6,3748
治孤,215667,9.0,1874
大龄处女有什么问题,135105,8.2,987
失业33天,140806,8.0,806
单身在线,553960,9.0,1302
海阔天空（完整版）,95199,9.0,243
女房产经纪,34433,8.6,314
妇产科女医生,182558,8.2,1728
一丝不挂,116677,8.0,947
鹅小姐的培训指南,58805,8.2,414
角色,37275,8.0,509
香港的风,23846,8.2,116
我尚未到达的地方,78029,8.0,881
这单车还有幸福可借,56776,8.8,455
斑马你爱不爱我,36959,8.8,644
香港备胎,113758,8.0,340
小飞侠,173387,8.6,1723
剩斗士徐蔓,29369,8.4,92
补心,10845,8.6,64
朋友圈,79688,8.8,346
安全期,160168,8.2,1753
