试管医生手记：八细胞的承诺,9.6,54,39341
六姊妹,9.6,276,4292525
流沙,0,0,167
美国职场宫心计,9.0,92,15403
念念,9.0,242,38181
老公孩子一起养,9.8,19,20341
从二而终,9.2,26,62978
一个朋友,9.0,124,24923
和鸾雍雍,9.2,52,8644
向爱而生,9.2,101,38489
月光谣,9.2,16,33532
超五星体验,9.4,252,1623777
8090离婚记,9.2,43,67316
相濡以沫,9.8,20,5799
空港：云霄路上,9.4,309,3600760
我们的5次求婚,9.2,34,12831
金融街没有爱情,8.2,2856,435608
平凡的移民生活,9.4,19,34701
潮汐预报,8.6,81,11958
你心底有花开,8.8,328,37526
硅谷爱情故事,8.8,1270,9722270
性格与慢性病,9.0,522,135242
急诊室伤痕女神：生命之光,9.2,123,30380
朝阳门,9.0,25,8436
手臂糖,8.4,71,14674
涉外助理,8.8,586,270168
在巅峰上高潮,7.4,20,7301
治孤,9.0,1874,215667
关于结婚的一场倒叙,8.4,40,8235
新闻将在秋日死去,8.8,622,64617
水落鱼梁浅,8.0,486,37102
鼓浪屿,0,0,1787
空港,8.6,3748,454345
泸沽湖之夜,8.2,2011,135357
优质末等生,8.2,14,29456
女帅,8.6,1227,103306
大龄处女有什么问题,8.2,987,135105
急诊室伤痕女神,8.6,971,165942
单身在线（特别修订版）,9.6,590,215447
美国职场宫心计--番外篇,9.4,28,1639
女房产经纪,8.6,314,34433
安全期,8.2,1753,160168
剩斗士徐蔓,8.4,92,29369
香港备胎,8.0,340,113758
妇产科女医生,8.2,1728,182564
单身在线,9.0,1302,553960
我尚未到达的地方,8.0,881,78030
角色,8.0,509,37275
失业33天,8.0,806,140806
补心,8.6,64,10845
小飞侠,8.6,1723,173388
香港的风,8.2,116,23846
朋友圈,8.8,346,79688
我们为什么结婚,8.8,91,629841
这单车还有幸福可借,8.8,455,56776
海阔天空（完整版）,9.0,243,95199
我和我的佛系老公,9.2,352,593874
斑马你爱不爱我,8.8,644,36960
鹅小姐的培训指南,8.2,414,58806
一丝不挂,8.0,947,116677
战无不胜的祝小姐,7.8,1677,138575
三美图,0,0,1765
清白之年,8.4,261,23556
暗夜旅行,0,0,211
不如归,8.4,44,6800
海阔天空,8.6,412,52065
如果影子会说话,8.6,236,17495
憨豆先生的午餐时间,0,0,599
最好的时代,0,0,7269
太阳底下,7.6,628,31503
剩男传说,0,0,251
的战记,9.0,134,519685
采购女王,8.6,193,12294
我叫庄如锦,7.2,77,3196
开除,8.6,195,18906
黑梦,8.4,364,133170
花朵之舞,9.8,41,68211
理短情长,0,0,2847
我三十八岁的做作,7.8,479,131523
抬棺人,7.4,389,12860
卷发大魔王,0,0,1399
出走,8.2,549,31110
你睡了，我醒了,8.4,358,51317
夜夜夜夜,7.6,724,41057
谈不了恋爱的B小姐,8.4,111,33767
男男男男男男！,8.0,346,44708
她们的故事,5.4,126,2525
你好，再见,7.6,1284,148974
斯嘉丽小姐,8.6,167,1261687
有处可逃,8.0,15,1867
公关小姐,6.8,867,61781
流莲,9.2,157,61536
风花,9.2,82,24070
二姐,0,0,623
你是个好人,8.0,136,5707
鄙视链,8.2,235,20232
围城内外,8.8,146,22473
天乌乌,8.2,18,4411
悲伤故事的美好结局,7.4,79,2722
消逝,8.0,252,17630
追气球的女人,7.6,164,4328
分手后的那一年,0,0,736
莲城式相亲,6.6,85,2122
均值回归,7.8,1193,67168
往事难忘,5.6,376,36794
忘年交,0,0,252
克莱斯大饭店,7.2,664,43618
非||常道,9.0,38,4801
三年一天,7.2,315,11514
原来梦想可以丈量,7.2,152,5594
小记者大江湖,7.8,26,3441
水碗,8.2,24,5977
棋子,7.2,325,8566
长成,5.4,325,6341
先疯少女组,6.8,84,2838
中南商学院,6.4,155,3422
单身黑历史,7.6,87,2826
以卵击石,6.2,89,3793
那时冬风吹雪北,0,0,1653
最后一封情书,0,0,1539
敏娜之爱,0,0,135
储若,5.8,314,4813
我在故宫隔壁上班,6.4,522,25162
郑太太的罗曼蒂克,8.6,34,4488
好喝不过白开水,5.6,276,5548
乌鸦飞过格桑花,6.8,272,6608
海阔天空 II,9.2,154,22445
银行柜员,6.8,340,12635
春归何处,8.2,71,2465
苏怡的二三事,8.2,27,1144
半夜是回家的好时候,8.6,62,10959
小银行,7.6,604,29685
公关,6.6,176,7766
红裙,7.6,16,737
祈晓,7.8,152,5530
一个没志气的电台女主播,7.6,702,40210
女人的抉择,4.6,278,5205
跃出水面的鱼,8.8,78,7631
一个东京女孩在上海,8.8,33,7652
好吧，樊城俊,5.4,155,3418
强拆风暴,7.2,93,3052
布宜诺斯艾利斯之春,0,0,254
金台夕又照,7.2,469,47275
走钢丝的女人,7.2,270,7344
隐秘的情人,7.6,14,2294
不沉默年代,7.6,162,8023
单身的人是可耻的,6.8,65,1602
薛定谔的单身,7.2,193,8127
编剧也疯狂,5.2,115,3565
夜会,5.4,283,6910
出走的猫,7.0,145,2328
黄金屋里颜如玉,6.8,454,44536
生性凉薄,6.0,81,1841
向日葵,7.0,61,1243
安茹是女神,7.2,11,1738
把无聊的日子打扮成小说,0,0,226
爱与白日梦,7.6,118,8820
点到为止,7.6,470,51783
破土的春芽,8.2,1060,104824
女人依梅,7.6,162,4040
拜托了，审计小姐,0,0,170
忧郁的新娘,8.2,141,6306
对不起，先生，我吃素,5.2,197,4200
相谈,6.8,58,1709
橙色气球,6.0,254,4292
风采争艳,0,0,172
致爱丽丝,6.8,284,8345
平凡之路,6.8,345,6057
基层公务员成长记,0,0,1202
出口,0,0,325
爱在升职ing,5.4,67,1465
不是环肥燕瘦,7.8,76,1786
海阔天空 III,9.0,64,5384
老板，你好,6.4,134,4718
大牛,7.0,450,12792
追梦人,5.2,76,1382
极至嫣然,4.8,256,7102
茶子木十,8.0,1081,25483
灯塔,7.4,139,3971
天赋的梦,6.8,16,514
荷尔蒙定律,6.6,60,1671
聚光灯外,7.2,334,18543
艺管小姐,8.0,185,6600
单身小姐,7.2,140,3415
中场休息,7.2,267,3798
名利场,7.4,198,6377
四月海,7.4,486,43110
职海轻舟,6.2,95,2447
无妄,5.8,249,7971
小围城,0,0,354
花尸,7.6,22,667
宝妈归来,7.4,321,13247
虚荣,0,0,1150
这一无是处的爱情,0,0,744
从早到晚,7.2,99,3233
嗑瓜子的女人,7.4,11,956
一个人的博弈,0,0,474
流转的，不停的，清晰的,6.6,362,13277
女教师秘史,0,0,780
梦想城市,4.2,73,790
穿越千里去上班,7.0,356,12368
冬天的红杉树,6.6,107,5932
小城女工,8.2,686,40728
魅惑,4.8,65,1444
风起了,5.4,82,1834
火花,6.8,323,9808
我是一个事业编的90后,5.2,287,10551
空巢青年,7.6,568,29810
请像正常人一样去恋爱,0,0,2592
青柠,7.2,12,694
味,0,0,415
远宸,0,0,174
老燕,7.8,396,24325
姐姐快跑,7.6,11,1019
像孩子一样去爱,5.6,244,7260
大女人联盟,6.8,120,3467
玛格丽特的红咖啡,6.0,327,14256
坐柜,6.8,320,7768
全世界冲过来的公共汽车,0,0,676
明天,5.4,78,966
朴文的河流,6.6,64,1646
