麦克白效应（修订版）,8.8,42,0.00,22067
再见恩格斯,9.2,361,1.99,20874
不速之客,9.0,436,2.99,59070
罪恶的枷锁 Ⅲ,9.4,264,0.00,45029
雾云山杀人事件,7.4,23,0.00,3555
古董珍珑劫,9.4,41,0,76278
第十三天（上）,9.2,4082,0,339554
走向大海,0,0,0.00,478
心意相通,8.8,224,3.99,68398
谜踪记,8.0,89,0.98,0.98,6429
罗宋探案：僵尸,8.8,317,0.00,35280
春树秋霜,9.2,51,3.99,10887
飞蛾之刃,9.0,1196,0.00,230077
儒隐 之 敦煌密码,8.8,47,0,21133
杀人连环计：一场惊世骇俗的谋杀,9.2,602,0,1592400
罪恶的枷锁 Ⅰ,8.8,316,2.99,56775
江湖探案系列之：金狮镖局案,8.0,24,0.00,2213
阳光洒肩头,9.6,189,0.00,35350
匿影者,8.8,32,0.00,7091
无妄之灾,8.8,507,3.99,135728
黑暗的平方,8.6,329,2.99,54248
一窟鬼,8.8,801,1.99,105042
神秘岭（完整版）,9.2,791,4.99,4.99,339638
窥,8.2,221,1.99,33862
鲤鱼与壁虎,8.6,174,3.99,33941
血鸟谜案,7.6,19,0,4771
离奇的失踪,7.4,15,0.00,1757
暖气,8.2,1539,4.99,506241
罗宋探案：疯猫,9.0,416,1.99,41603
盲村,9.2,385,3.99,55389
末路狂花,8.6,615,3.99,175295
慈恩寺谜案,7.6,15,0.00,1804
夜色无边,7.8,191,0.00,8166
关东志怪,8.6,377,0.99,0.99,192733
雪人幻想,9.0,227,2.99,30378
罗宋探案：白月光,8.8,459,1.99,102863
我脑海中的她,0,0,0.00,508
罗宋探案：谜尸（修订版）,8.6,539,1.99,87555
罪恶的枷锁 Ⅱ,9.0,275,0.00,30169
禁酒令,7.8,16,0,10755
废城：蜂击,0,0,0.00,93
流萤·卜问,9.2,165,1.99,1.99,24893
婊儿子,10.0,38,0,178090
楼上的声音,8.4,1079,1.99,93271
黑暗的n次方,8.6,283,2.99,62335
蓝带儿,8.6,22,1.99,1551
白色玉兰花,9.0,417,0.00,121888
恶魔之窖,8.4,307,1.99,22604
博尔赫斯探案Ⅲ：丹麦王子之谜,7.4,21,0.00,2028
第十三天（中）,9.0,1976,2.99,139015
梁家兴教授探案集,9.2,383,0,1129646
校园枪击案策划指南,8.6,3100,1.99,175973
黑暗的立方,8.8,256,2.99,54663
古籍残案之我是文物修复师（完整版）,0,0,0.00,5588
双水村往事,0,0,0.00,102
被偷走的人生,9.0,116,4.99,37483
蛾变,8.6,128,0.00,33102
我因羞怯而杀人,8.6,481,1.99,87637
第十三天（下）,9.2,2513,2.99,102054
黑河杀手,8.2,493,1.99,53882
被迫回忆,8.2,62,0.00,11000
写作课,7.6,249,1.99,24963
南疆异闻录,0,0,0,1777
无限恐怖,7.4,87,0,126155
无限恐怖,7.4,95,2.99,2.99,27150
南天门外没神仙,6.8,12,1.99,1630
至少还有你,9.4,198,0,1554146
锡箔纸（上）,8.4,45,0.99,0.99,11045
暴风雪夜的独行者,8.0,76,0.00,17423
107国道连环杀手,9.2,250,1.99,32708
锦衣卫传奇,8.2,100,0,30100
孤岛模式,7.6,36,0.00,2833
锡箔纸（中）,0,0,0.99,0.99,1743
镜子,8.8,25,3.99,4830
八生门,6.2,29,2.99,2194
古镇笔记,7.2,23,1.99,2761
我，嫌疑犯,8.4,670,0.00,115140
荒野时间和其他故事,8.6,50,1.99,4715
刺杀警察局长,7.2,44,0.00,1929
情热,9.0,111,2.99,23450
无限恐怖（二）,8.8,44,0,71022
9号侦查馆,8.0,22,0.00,11850
自杀俱乐部,8.0,46,1.99,9185
