黑暗的平方,8.6,329,2.99,54305
神秘岭（完整版）,9.2,792,4.99,4.99,339792
罪恶的枷锁 Ⅲ,9.4,267,0.00,45922
追捕,8.6,135,2.99,13131
匿影者,8.8,33,0.00,8967
江湖探案系列之：金狮镖局案,8.6,26,0.00,2657
罪恶的枷锁 Ⅱ,9.0,276,0.00,30415
避役之夏,8.8,317,0.99,0.99,45764
血鸟谜案,7.6,19,0,4894
罪恶的枷锁 Ⅰ,8.8,317,2.99,57007
梁家兴教授探案集（修订版）,8.2,55,5.99,13921
鹌鹑,8.6,246,5.99,103803
雪人幻想,9.0,227,2.99,30434
雾云山杀人事件,7.4,24,0.00,4005
冷雨,8.6,1229,4.99,288996
禁酒令,7.8,17,0,10839
杀人连环计：一场惊世骇俗的谋杀,9.2,602,0,1593536
飞蛾之刃,9.0,1196,0.00,230746
儒隐 之 敦煌密码,8.8,48,0,22141
八大金刚,8.6,108,0.00,25472
神秘岭（一）,9.2,150,2.99,25485
被迫回忆,8.2,62,0.00,11036
杀死一只X兽,8.2,197,3.99,52750
健身房之夜,9.0,59,0.00,18149
十·戒,8.0,103,0.99,0.99,11090
傅满洲博士的秘密,7.2,19,5.99,8104
不嚷蝉,7.4,55,1.99,2146
换头人,7.8,316,2.99,23614
猎头人,8.4,92,3.99,11263
黑暗的立方,8.8,256,2.99,54722
南疆异闻录,0,0,0,1922
梁家兴教授探案集,9.2,384,0,1129969
夜幕漩涡,8.4,406,1.99,62778
无限恐怖,7.4,87,0,126312
黑暗的n次方,8.6,283,2.99,62411
八生门,6.2,29,2.99,2213
杀人犬（特别修订版）,8.6,71,3.99,14946
致命乐章,7.8,35,1.99,3582
死亡同学会,8.4,301,3.99,85088
末灯抄,7.2,128,1.99,6713
左小姐辞职去探案,7.8,22,0.00,6579
刑,7.6,163,1.99,11286
失眠者,9.2,134,0,263107
神秘岭（二）,9.4,119,2.99,14645
博尔赫斯探案：西班牙玫瑰之谜,7.8,365,1.99,26868
心之刑,7.6,39,1.99,8070
傅满洲博士的魔爪,0,0,5.99,1186
血雨村诅咒杀人事件,7.8,42,4.99,13275
傅满洲博士归来,0,0,5.99,1801
杀戮游戏 / 开往地狱的天堂号,9.0,40,0,193061
