风露刺,8.6,444,1.99,37426
藏剑者 · 贰,9.0,56,9.99,20864
再见江湖,8.4,26,1.99,4346
夜来风雨,9.0,92,0.00,9303
江湖漫游指南,6.8,11,4.99,1696
藏剑者 · 叁,9.2,28,9.99,13587
术刀之美人无泪,8.6,79,0.00,5279
书剑长歌行之相忘江湖,7.4,16,3.99,3.99,5485
书剑长歌行之谁主沉浮,0,0,0.00,671
梨花刀,8.2,26,0.00,2131
酒书,7.4,29,0.00,4185
清雨濯尘归,9.0,51,0,246276
沧浪,8.8,36,0.00,5205
昆仑三圣,9.4,29,0.00,8807
十恶胡作,9.6,1101,0,21565903
一瓣河川,9.2,3141,1.99,200085
春树秋霜,9.2,51,3.99,10698
书剑长歌行之江山风雨,7.8,27,2.99,2.99,5280
书剑长歌行之千里江陵,0,0,3.99,3.99,1489
吴单贾义列传,7.6,37,0.99,1229
碧水青云记,7.8,15,0,271681
剑客与刀疤脸,0,0,1.99,635
死水微澜,8.8,17,3.99,5547
猎手·猎物,9.6,30,0.00,3195
刀王,7.6,495,1.99,34864
禅茶濯剑录,8.6,590,1.99,41468
绝技,8.2,269,0,19452
术刀,0,0,2.99,2314
大比之年 ,8.8,24,4.99,5484
莽侠,8.0,14,1.99,1502
交叉世界的深谷,7.8,87,0.99,2837
冷山寺,7.4,206,0.00,10005
惊瞳,8.0,426,1.99,21041
春江花月夜,7.8,19,1.99,1155
玉蛇劫,8.4,90,0,6347
归去来兮,7.2,34,2.99,9505
江湖四公子之神剑妖刀,9.4,36,3.99,23430
红学会,8.6,293,1.99,12481
太湖烟雨,9.0,26,0.00,2188
不如归,8.4,44,0.00,6811
面人,8.0,13,0,6116
云阙赋（上卷）,7.8,13,5.99,1536
同门,8.0,298,1.99,13523
往尘,6.2,126,0.40,0.40,2671
长安风雪（一）,8.6,84,2.99,7926
雾,8.4,19,3.99,3819
天下无剑,7.2,138,1.99,3774
青衣,5.6,97,1.99,5918
凤羽龙骧,6.8,122,1.99,3595
神探慕容,0,0,1.99,504
停云剑歌,9.4,518,0,2998748
折戟沉沙,5.4,163,1.99,7757
武林残页,0,0,6.99,2265
重生,7.2,18,3.99,1045
六界狂歌行,0,0,0,8248
荒村剑客,8.0,68,0.99,4935
云阙赋（下卷）,0,0,5.99,293
寻青记,0,0,1.99,1842
玉门遮,7.6,11,0.99,0.99,4085
夺标之路,6.4,160,1.99,8880
千山雨,6.2,134,1.99,6315
长战卸甲,0,0,0.49,0.49,3160
去手,8.4,99,0.99,4161
长安风雪（二）,9.4,38,3.99,2858
野鸳鸯,6.6,18,0,2396
枕江南,0,0,1.99,423
不要死在黄土高坡,7.2,84,1.99,2149
一刀一酒尽余生,7.2,237,1.99,14800
血月,7.6,31,2.99,3461
鸳鸯锁,0,0,1.99,611
观止剑,8.0,79,1.99,2809
迟剑行,8.0,287,1.99,15419
巨阙残锋,7.8,18,1.99,1407
我眼中的秦舞阳,0,0,1.99,204
朽者,8.2,350,1.99,17151
常输先生,9.2,19,1.99,2249
梅香,0,0,3.99,690
无痕,7.8,245,1.99,13678
寒光照铁衣,0,0,1.99,272
放鲸记,7.8,11,1.99,1361
风卷黄沙,0,0,1.99,477
茶焚千沐,0,0,1.99,218
天马记,7.8,106,1.99,3174
野王集,8.0,18,1.99,1517
醉歌行,8.0,169,1.99,5370
风月楼,0,0,1.99,1408
吟啸行,7.2,13,6.99,3245
端州记事,0,0,1.99,609
侠魂销,0,0,1.99,733
血色燕云,7.0,113,1.99,7669
南渡,8.0,20,0.99,0.99,3188
狐女苏灵儿,0,0,4.99,1136
荒庙,8.2,383,1.99,25341
少年游,9.0,31,1.99,3677
黑潭旧事,0,0,1.99,256
倚月山庄,0,0,2.99,974
雪寂又凉生,9.4,36,0,23211
牧歌：云裹篇,0,0,0,6419
罗生门·长安,7.8,12,0.00,3746
踏雪山庄,7.2,12,2.99,3359
大明鬼谷,6.2,14,7.99,4678
枯局,7.0,118,1.99,2450
孙葫芦王瓢,7.4,11,0,955
东方不败之再续前缘,0,0,0,161
百花少主,0,0,2.99,1117
白马篇,0,0,0,917
环形佩刀,6.8,168,1.99,4621
后街侠客行,6.6,84,0.49,0.49,1881
秘录侠踪,0,0,2.99,1219
君子之枫叶天下,7.6,12,3.99,1229
睥睨天下,0,0,0,910
刺客人生,0,0,1.99,559
叁月·虹,0,0,1.99,659
青阳城,0,0,4.99,1065
白炽之昼,8.4,23,1.99,1239
余生一剑,6.0,89,1.99,2295
寻枪,0,0,0,8611
归云山庄,6.2,14,1.99,858
地狱执,7.6,153,1.99,2509
兰烬落,8.4,67,0.99,0.99,3409
贰月·残,0,0,1.99,2009
江湖走一遭,0,0,0.99,324
天行有常,6.8,11,2.99,1529
千阳传说,8.0,11,1.99,1603
血色双清巷,0,0,1.99,447
秦凝传,6.8,12,1.99,831
履霜记,0,0,1.99,879
刺青,7.0,17,1.99,511
剑花,0,0,1.99,540
破刀客,5.8,193,1.99,14084
淮城雨,7.6,370,1.99,13488
有离,7.2,221,1.99,9681
侠隐迷踪,6.6,83,1.99,3852
飞花录,0,0,1.99,1330
笑泯恩仇录,6.2,38,0.99,630
死人剑,7.4,117,1.99,8273
长安别,0,0,1.99,397
也无风雨也无情,0,0,1.99,864
无知之剑,6.6,74,1.99,4471
太平江湖,7.6,15,1.99,587
暴雨青竹后传,7.0,90,1.99,2071
临渊,0,0,0,50
风云录,6.8,14,1.99,542
武道除妖记,0,0,1.99,325
乱世游子吟之红尘如梦,0,0,0,21
大劫武林论,0,0,1.99,299
花楼鬼姬,7.2,222,1.99,7348
中州奇侠传,0,0,2.99,172
神雕遗梦永不醒,7.8,17,0,3721
招魂行-驭凤骖鹤,0,0,0,1370
抱素台,7.2,190,1.99,5410
情者刀,0,0,0.99,153
非侠非客庙小寒,7.2,127,1.99,3802
