上钩,8.0,277,1.99,15525
金小姐的夏日旅行,7.2,46,0.99,4904
小妇人（下部 · 大结局）,0,0,0.00,192
都是异乡人,8.6,40,0,110288
超五星体验之进击的笑笑,0,0,0,156
生命中的一年,9.0,73,0.00,12197
朋友圈,8.8,347,2.99,79755
干燥，有风,9.0,135,2.99,31288
平凡的移民生活,9.4,21,0,37237
活在美国：步步为陷,0,0,0,2584
颤抖的叶子,9.2,69,5.99,19713
手臂糖,8.4,72,1.99,14806
相濡以沫,9.6,33,0.00,11969
天涯追梦人,9.6,32,0,158466
对窗,7.8,813,1.99,41961
梦冬,9.0,734,1.99,92016
美国职场宫心计,8.2,13,0,12777
曼城的天空,9.4,80,3.99,11477
搭伙,8.8,48,1.99,6176
美国职场宫心计--番外篇,9.4,30,1.99,1965
理想国,7.0,201,1.99,13651
破茧,8.2,161,1.99,20027
失婚记,8.8,74,4.99,18889
圈,9.0,19,2.99,3068
小妇人（上部 · 第二卷）,0,0,3.99,858
友情,8.4,225,0.99,10237
人偶调查,7.4,146,1.99,4428
Fix 定点,0,0,0,4832
无人关注,0,0,0.99,0.99,421
浮城旧梦,8.6,69,2.99,10499
小妇人（上部 · 第一卷）,0,0,2.99,889
深夜电影院的天使,0,0,0.00,281
茉莉,7.4,21,1.99,1021
小妇人（下部 · 第一卷）,0,0,2.99,493
芝城故事,7.8,260,1.99,13785
小妇人（下部 · 第二卷）,0,0,3.99,275
暗夜蔷薇,8.4,55,0.99,4615
吴维的世界,8.0,33,0.99,2678
主妇琳达·肖,7.8,50,1.99,4082
小妇人（上部 · 完结卷）,0,0,2.99,1047
选择,7.6,181,0,3199
美人痣,0,0,1.99,170
在纽约,8.4,74,1.99,9254
在皮卡迪利,0,0,1.99,559
讨厌商业的张笑笑去了哈佛商学院,0,0,0,38
薄幸街,9.0,44,1.99,4427
螺蛳壳,7.6,172,1.99,4268
好运气,7.2,18,2.99,853
中国药方 Un remedio chino,0,0,0,1959
柏林恋人,7.6,173,1.99,24138
信仰,8.4,101,0.99,6287
三文鱼之味,0,0,0.99,922
巴黎浮生,9.0,40,2.99,8374
被选中的伦敦鸽子,5.0,133,1.99,4070
谢谢你的海,7.8,166,1.99,14277
雪女,8.8,40,1.99,3161
黛西,8.4,41,1.99,3757
怨恨女人的人,0,0,4.99,128
开航,7.4,247,1.99,15638
遇见,0,0,1.99,651
黑手党夫人的委托（一）,7.4,14,0,1380
孤旅,6.2,136,0,12861
坏榜样,8.0,136,1.99,10970
银瓶记,6.6,104,3.99,12938
沙巴之恋,0,0,2.99,560
无比荼蘼,0,0,1.99,1294
咫尺,0,0,0,22
彩虹城 Rainbow Village,0,0,0,7177
消失的弗兰克,0,0,2.99,995
美国西部的铁血情仇,0,0,1.99,347
告别植物迷宫,0,0,1.99,1326
且无风雨且无晴,0,0,0,76
一个好故事,0,0,1.99,210
阿拉莫,0,0,4.99,1590
归途有期,8.6,28,1.99,3074
龋齿、iPhone与丢失事件,0,0,1.99,1130
1.99,3722232492182041821842243136
一个女人的765封信,0,0,0,3
