郭小年的年,9.0,104,4.99,33088
少年游,8.4,61,2.99,8564
人间,0,0,0.00,854
生瓜,7.8,35,5.99,12607
风火男孩,0,0,0,1774
再见恩格斯,9.2,368,1.99,21982
高三生活备忘录,0,0,0,145
蛾变,8.6,130,0.00,33201
少年，我爱你,8.4,19,0,10274
蝶幻,8.2,18,0.00,4155
勇闯天涯,8.8,348,0,33001
游戏机往事,0,0,0.00,665
青青陌上桑,0,0,0.00,2770
烟雨平生,7.4,14,0.00,1925
严肃的高跟鞋,9.4,17,0,69195
沙湾冠军,8.8,67,0.00,2741
岛上七个未解之谜,7.6,14,1.99,1614
交易的背后,0,0,0,63066
茉生,9.2,206,0.00,45235
家庭秘密,7.6,17,0.99,1702
九月火车,7.6,64,7.00,6251
我们都一样孤独无依,8.8,984,4.99,202744
零下四十七度,0,0,0,628
严肃的高跟鞋第二部,0,0,0,11988
冰,0,0,0,99
文艺青年自救手册,0,0,0,24
天涯海角,0,0,0,161
蜜糖爸爸Sugar Daddy,0,0,0,88
男友说我得了抑郁症,8.4,520,0,831226
总有迷路的胖子在阴影里虔诚地渴望明天,7.8,228,0.99,26751
把文艺青年统统打昏,0,0,0,17533
记林静华的日本高中生活,8.8,587,2.99,126024
世上唯一的花,8.0,222,0,15559
时光如你,0,0,0,3398
只想吸引你,0,0,0,132
生命中的一年,9.0,73,0.00,12281
故事里的事,9.2,309,0,66954
狗背上的童年,0,0,3.99,921
路过你的青春和远方,9.0,65,0.00,20737
天空之城,7.8,20,4.99,3817
我们踩着风,9.0,47,1.99,28757
古老的敌意,7.2,12,0.00,1148
风动草的年华,0,0,1.99,1392
失去,0,0,1.99,134
笼中男孩,7.2,114,0,10725
杯嵩剧院,0,0,4.99,1233
恰年少,9.4,45,0,390830
恰年少,9.4,23,4.99,10766
女子恋爱图鉴,8.0,110,1.99,20600
小卡亲启,9.2,18,0.99,0.99,5358
那些花儿,0,0,4.99,1363
那一年，因为ROCK,0,0,0,1155
四重奏,9.4,41,4.99,10629
白日梦想家,0,0,0.00,347
那段时光,0,0,0.00,1765
怪味豆,0,0,0.00,988
耶鲁爱情故事,9.0,303,0,637520
少年阿珵,8.8,64,4.99,18195
月见的岛屿,8.4,14,4.99,9932
天使可曾离开过,0,0,0,15
阴晴不定,0,0,0,40
第一学历,0,0,0,121
一个无所事事的男人,7.0,45,0.00,930
东山再起,7.8,17,0.00,841
李小风的后青春时代,0,0,0,101
寂静的声音,8.8,86,4.99,10792
青春的华衣——我们的孩子将穿着汉服长大,0,0,0,1121
胧月浮生,6.0,114,1.99,6487
生活小事,0,0,0,13
西花园,0,0,1.33,1.33,379
云胡不喜,7.2,31,1.99,4972
低空飞行,0,0,0,50
阿霞,7.8,66,4.99,26977
爱在珠穆拉玛,0,0,0,797
天蓝蓝,7.0,24,1.99,3149
事物的味道,0,0,0,2586
林兆寒,8.4,17,4.99,7970
生有余安,0,0,0,43
来自我心,0,0,0,9397
时雨,0,0,0,1371
二十四桥明月夜,0,0,1.99,673
青春，无须多言,8.4,273,0,55854
成长的隐痛,8.6,66,1.99,9406
执著一泪落成书,0,0,0,93
去年夏天和你在一起的女孩是谁,8.0,21,1.99,2588
恁时相见早留心,0,0,0,306
抑郁阳光,0,0,0,6671
一生一次,8.0,40,4.99,17030
文艺复兴时期的爱情,0,0,0,333
衰男絮语,9.2,66,4.99,9051
学子的江湖,6.8,15,0.00,1635
一个人是过客,7.8,90,0.00,29275
点击,0,0,0,29
异象拾零 镜像篇,0,0,0,97
千灵之心,0,0,0,837
垂死坚持,8.8,96,0,17141
不止是阉割,9.2,84,1.99,30584
憨豆先生的午餐时间,0,0,3.99,632
一部关于城市的幻想,0,0,0,49
少年往事,9.2,37,4.99,14832
阳光洒满梧桐树,0,0,0,1438
心灵重伤,8.2,32,0,44547
可爱的木头 — 85后成长记,9.6,58,0,340871
赵小姐的二十七次相亲,7.4,48,0,77436
蓝色边界,0,0,0,3320
二十有八,0,0,0.10,0.10,257
郭小年的年,9.6,26,0,39440
鱼找水 需时间,8.6,19,0,100492
故城,0,0,0,479
那时正少年,7.2,51,0,7830
理想,8.0,608,0,12112
岁月流水细含沙,0,0,0.00,124
来日方长,0,0,0,48
回首向来萧瑟处,0,0,0,78
堕落,8.0,326,0,13827
火烈鸟不语,8.0,14,0.99,423
抑郁症患者,7.4,22,0,3104
亲爱的比熊(我在等你爱上我),0,0,0,611
悉尼：无法兑现的爱,0,0,0,3980
我们,0,0,1.99,940
赵二狗的幸福生活,7.4,25,1.99,1148
沙与沫,7.6,31,0.00,1198
和抑郁症患者在一起,7.4,58,0.99,5868
晦涩艰深的舌吻练习,0,0,1.99,477
三秋的夏天,9.4,56,4.99,13503
骨头收藏家,7.8,67,1.99,2363
展翅高飞,0,0,4.99,2461
遗孀,0,0,0,18985
碧水尽处是晚煦,0,0,0,6
鹿角花园,8.6,35,1.99,3636
不完美公路之旅,7.2,12,4.99,669
来，坠落,7.8,23,0.00,3818
《他纽扣上的头发》,0,0,0,228
一只草履虫的实验室见闻录,0,0,0,3
夏日靡余,0,0,0,29
我盛放的年纪，谢谢你能来,8.2,132,1.99,11583
我和徐先生的十年友谊,0,0,0,10
阿兔,0,0,1.99,830
无题,0,0,0,16
失贞年代,7.4,12,1.99,1698
热天午夜,6.4,17,0.99,1114
逗号，句号,8.2,44,1.99,4756
白茶花,7.8,102,0,20005
马里奥,6.6,15,1.99,1163
未转头时是梦,0,0,4.99,1235
逃出离西镇,0,0,1.99,1016
就是如此,8.2,12,1.99,727
你是年少的欢喜,0,0,1.99,363
悄悄青葱恋,0,0,0,849
从地平线到心湖,0,0,0,65
重返象牙塔,0,0,0,12
通俗岁月,8.4,11,5.99,7000
毕业生,0,0,1.99,1249
春猫夏狗,0,0,1.99,1422
那一年,0,0,1.99,1032
深林见鹿,7.0,91,1.99,7569
玫瑰疾病,9.0,165,1.99,12616
他们不是虹城人,0,0,3.99,299
夏生·秋水,0,0,0,202
那年夏天的风,0,0,0,464
空城天欲晚,0,0,1.99,1457
虚荣,0,0,1.99,1157
好大一个女同学,8.2,27,1.99,4712
麻雀工厂,8.2,25,1.99,1711
男人们都在聊什么,7.8,92,1.99,7456
我和徐先生的十年友谊,0,0,0,9
夜莺,0,0,4.99,1881
少年阿亮自杀前夜的最后一封长信,0,0,2.99,924
魅力老王回忆录——哲理贾宝玉+幽默西门庆,0,0,0,5
辍学记,8.8,34,1.99,1478
象牙塔游戏,0,0,0,346
那些微妙的日子,0,0,0,4186
跑步到河堤上去,0,0,1.99,209
两可间,8.0,158,1.99,3762
惊蛰,7.6,29,1.99,1328
爱情理论家,0,0,1.99,487
女博士,8.2,116,1.99,6432
你是我掌心里的海,0,0,0,5054
失业以后，明天以前,6.8,23,1.99,1332
寻找失去的那一厢疯狂,8.4,93,4.99,10754
仓猝,7.8,41,0.99,2315
蓝莓山,6.8,37,0,3905
寻觅夜色的星空,7.6,16,0.00,1222
逃离,8.0,35,1.99,3069
亲吻少年时,0,0,0,117
