秋日便当,8.6,700,1.99,114680
春日便当,9.0,811,1.99,116528
少女春心图鉴,0,0,0.00,453
名字是令人发愁的东西,0,0,0,527
高棉的微笑：吴哥传奇,8.0,27,4.99,10264
买农场就像找老婆,7.6,13,2.99,1182
宇宙奇趣全集,7.2,13,0.00,676
京都第五年,8.8,2052,1.99,193050
玩偶之家,9.2,113,2.99,16211
夏日便当·修订版,8.8,1238,1.99,175990
白事会,9.0,6268,1.99,305710
7天治愈拖延症,7.8,2164,5.00,363220
穿越大洋遇见你,8.8,212,3.99,99612
饭醉记录,8.8,921,1.99,65158
狐小月与羊大森 2,9.0,108,1.99,1721
一个土肥圆男的画与哀愁（上）,0,0,0.00,289
陈山农,9.6,856,2.99,33774
单身,7.6,17,0.00,2328
冬日便当,9.0,758,1.99,111736
女友调教手册（修订版）,7.8,558,1.99,89557
诸神记,8.2,457,1.99,47370
所谓青春，浪费一年又何妨,9.2,614,2.99,102968
一课经济学,8.6,432,0,108387
大好河山可骑驴,8.8,778,6.99,105812
生死不离,9.6,218,1.99,16525
永远的丁丁与昨日世界,0,0,0.00,132
剩唐（一）,9.4,414,1.99,78498
黑色大门,9.6,81,2.99,12267
涉外助理,8.8,587,5.99,270470
狐小月与羊大森,9.0,145,1.99,3611
情感问答,9.0,1771,1.99,215681
窗前流水枕前书,0,0,0.00,1271
无边光景一时新,0,0,0.00,796
中日之间：萌与硬——倭国时代的日本,0,0,0.00,110
你不许变心,8.2,22,0.99,0.99,1689
中日之间：日本朝贡之路与大明朝倭患,0,0,0.00,240
山海经真相探索,7.4,11,0,3344
论文艺女青年如何培养女王气场,7.0,1278,1.99,145193
加拿大的面子和里子,0,0,0.00,992
乡味缭绕,0,0,0.00,192
橄榄核微雕作品创作实例教程,0,0,0.00,150
大都会幻想故事二则,8.0,112,0.99,4304
F lover,8.2,497,2.99,29303
你活在人间，便要狠狠去爱,7.4,20,1.99,2735
9.4,406,6.99,39774352243361012816906288187793744770167091
我这一生,9.6,367,4.99,4.99,64203
三天学会写歌,7.0,238,0.99,62424
空间—影像：电影的未来,7.8,25,0.99,4808
与暗录,0,0,0.00,375
冬泳记 | 第1话,8.8,167,0.99,7637
春秋战国：一段你应了解的历史（第一卷）,9.4,297,4.00,4.00,190158
东京独立书店巡礼,7.8,286,1.99,25237
小雅群像,9.2,40,0,4780479
惹人思议（INCREDIBLE INDIA）,0,0,0.00,72
凡人皆有一死,9.4,2185,1.99,102347
中日之间：蒙元逆袭日本,0,0,0.00,588
浮生六记（译文版）,9.2,19,1.99,10925
勘破封神,7.8,14,5.00,3206
一个地方，一世情长,7.2,12,0.99,996
边缘的姿态,9.0,641,1.99,81350
Django入门教程,8.0,211,0,67192
CoffeeScript小书,8.2,71,1.99,15031
形婚记,7.8,635,1.99,35739
自我复位健康术——颈椎篇,0,0,10.00,1719
教自己写作,9.2,71,0,91432
星际穿越,9.0,16,1.99,1700
52 个改变,8.4,582,0,98003
旁观因果,9.4,847,2.99,33667
岛峰手记,8.6,32,1.99,2308
西游局中局（上卷）,8.8,199,5.00,86711
迷踪写作教室：从零开始写小说,9.6,108,0,126702
审视童话的四种角度,7.0,37,1.99,3819
辰,8.4,36,1.99,1983
眼望着北方,8.2,250,1.99,17030
少女瘫痪笔记,9.2,922,1.99,52272
厄峰之旅,0,0,2.99,910
一直走直到我遇见你,9.2,872,0,3316607
旅行故事,8.6,861,1.99,63721
温德米尔夫人的扇子,9.0,222,2.99,22536
理想丈夫,9.4,25,3.99,7181
天涯共此时（上）,9.4,68,1.99,1.99,38263
不能奋身一跃,8.0,354,0,49389
东北疯食录,9.4,68,0,62041
等我胖了再揍你,7.6,478,0,29256
MacTalk·人生元编程,8.4,288,2.99,48078
掘参,9.4,689,2.99,20777
情绪过山车,7.6,60,1.99,2264
遇见疯狂的职场,7.6,17,2.99,4976
圣女贞德,9.0,44,3.99,8418
有画要说,7.8,13,1.99,1025
一个人的性,6.6,23,3.99,15063
地狱里的中国,7.8,27,3.99,4032
南下打工记,9.0,313,5.99,38022
久违的事：俄罗斯笔记,7.8,171,2.99,12612
勃朗宁夫人抒情十四行诗（中英对照）,0,0,1.99,2068
那些在豆瓣阅读写作的人,7.8,130,0,27176
伞之婚礼,8.4,18,1.99,717
好身材从心出发,8.2,67,9.90,23529
治疗思乡病的偏方,8.2,34,0,5106
一隅,7.8,17,1.99,1573
爱的正反面,8.2,23,2.99,6487
你可能不知道的金融知识,8.8,223,0,189203
你可能不知道的香港,8.2,2886,0,463946
自我之歌,0,0,1.99,2972
因为这世界 我只来一次,0,0,1.99,2125
赤颜犬舍漫画,8.6,1124,2.99,32880
她的国,7.6,582,0,32579
纽伦堡之旅,8.6,70,1.99,6350
张爱玲城市地图（下）,8.0,18,1.99,4699
犀读：好文笔是读出来的,9.4,271,0,1585582
回响与疏明,8.6,35,1.99,10920
一个人,9.0,736,1.99,27269
每天一顿家常饭 1,8.0,184,0,6746
文艺青年如何赚稿费,8.8,351,0,456427
硅爱小札,9.4,65,0,113881
《楞伽经》对读析义,0,0,0,35557
自我复位健康术——背部胸椎篇,0,0,10.00,844
芭芭拉少校,8.6,28,3.99,7120
先知（中英对照）,0,0,1.99,2751
锦瑟记--------流年里的唐诗宋词,0,0,0,217
与众不同的心理学,9.0,69,0,55838
两晋风云（一）,9.0,525,0,66347
插画之森·欧洲上篇,8.4,87,0,12653
巴勃罗·埃斯科瓦尔：哥伦比亚毒王的沉浮人生,8.0,14,2.99,2488
销金帐,8.8,25,2.99,6507
人类为什么会得自闭症,7.4,117,0,12280
好奇录,8.2,20,2.99,6882
张爱玲城市地图（上）,8.2,32,1.99,8832
再见摄影,7.8,97,2.99,11221
力哥说理财,9.6,125,0,8855797
荷尔蒙,8.4,1929,0,178073
失忆症,8.0,369,0,9915
新藏行记,9.2,64,3.99,8893
十二个梦,8.2,15,0,1235
动漫中的樱与刀：为何而战（完结篇）,7.8,12,0.00,783
情感问答 2,9.2,986,1.99,115115
惊鸿小札,8.8,58,0,189359
我叫徐沪生,7.6,52,2.99,8479
不可儿戏,8.8,24,2.99,4360
动漫中的樱与刀：神器与妖刀,7.0,21,0.00,1497
诊余集,8.0,67,0.99,5409
时间偏好的基因,0,0,4.99,2703
Kalos' Odyssey,8.0,552,0,12072
与人相处那些事,9.2,87,0,229769
西游局中局（中卷）,8.6,123,4.00,23475
写作的内观,9.2,192,0,59861
漫谈建筑史,8.2,18,0,2030
亚热带雨林的一千零一夜,9.2,793,1.99,39167
一条迷影狗的自拍,9.0,46,1.99,9106
深夜情诗,8.4,294,1.99,30542
北欧神话：诸神篇,0,0,0,1172
宝石和木兰,9.0,491,1.99,12544
山中的糖果,8.2,185,1.99,17567
姐姐,8.8,1332,1.99,112661
去澳洲，去流浪,8.2,114,0.99,7721
绝对血块虐杀,7.8,20,0.99,1599
自我复位健康术——头面篇,0,0,10.00,1268
五代十国的枭雄们 1：满城尽带黄金甲,8.8,97,3.99,22381
修辞狂热,7.0,11,0.99,1493
漫行阿根廷,0,0,4.99,1653
梦醒时分,7.8,127,0,6389
正解：从写作文到写作,8.8,67,0,351038
地狱十八趣味图鉴,7.0,47,0.99,2090
五代十国的枭雄们 2：枭雄的盛宴,9.2,69,3.99,15656
百日巴黎,0,0,0,466
女友挽回手册,8.8,103,9.90,13818
圆桌体,8.4,39,0.00,2348
剩唐（六）,9.6,173,1.99,8820
打飞机,6.2,48,0.99,10339
飞鸟集,7.8,14,3.99,3282
重返乐园,7.2,13,1.99,2364
病人虐我千百遍，我待病人如初恋,7.4,121,1.99,10575
摄影与Photoshop,9.6,87,0,41476
未寄信,8.4,21,1.99,1196
剩唐（二）,9.4,231,1.99,15988
不逍遥的海岛,8.0,18,2.99,1505
自我复位健康术——腰椎骨盆篇,0,0,10.00,1760
一个性工作者的自我修养,7.4,299,1.99,45648
高卢战记,0,0,4.99,2487
喵，吾辈是猫,8.2,950,1.99,29136
佛罗伦萨十二天十一夜,6.2,62,0.99,3877
波清波是一只鹅【五】,9.2,125,2.99,3544
岁月神偷,8.8,27,1.99,1915
我们如何与这个芜杂的世界相处,7.2,1318,0,158156
天涯共此时（下）,9.6,43,1.99,1.99,16199
荒原,8.6,17,1.99,2978
半衰期,7.6,18,1.99,3179
致郁系女孩七比,8.4,26,2.99,1653
失业之旅,8.2,240,1.99,17518
星尘旧梦,7.4,24,1.99,5570
阿达和他完美的紫色玩具球,0,0,1.99,453
失业之旅,8.2,8.0,167,293,1.99,15154
梵米米图说咖啡：第一弹,8.4,214,0.99,6934
咖啡杯里的金阁寺,8.8,392,1.99,29045
爱上学英语,9.2,70,0,398135
火烈鸟与火烧云,7.8,25,4.99,3770
上海LGBT采访录,9.0,215,0,45883
爷爷去雪国了,8.2,242,0,3664
来，我们谈谈情，说说爱，找找自我,8.8,95,1.99,9731
旷野风吟,0,0,4.99,3611
人之大欲,7.6,161,0,9833
雪中的爱神像,7.6,13,2.99,1444
怀旧食堂,7.6,55,1.99,8556
仪式的焦唇,0,0,1.99,1547
哈罗德·品特诗歌六首,8.0,27,0.99,2355
植物忆旧集,7.6,78,1.99,11349
美食摄影,7.2,1573,0,30807
动漫中的樱与刀：勇者斗魔王,7.6,19,0.00,863
艾米莉·狄金森诗歌集,0,0,11.99,5759
冰与火之歌外传：龙家王朝与七大王国兴衰史,9.6,41,0,159778
听雨梧桐梦故园,8.8,110,0,15170
你知道的太多了,7.6,572,0,25114
浮生轻迈,8.6,22,1.99,1716
给青年诗人的信,8.8,60,1.99,9352
释梦笔记,8.6,101,4.99,19255
三城记,7.6,160,1.99,11895
好好思考：21堂高情商思维课,0,0,0,1471
从男票到老公,9.4,40,0,46111
医荷,8.4,18,0.99,1236
独角兽的森林,9.2,41,0.99,5986
穿越七千公里的旅程,7.8,38,1.99,3480
贪欲、权力、金钱,6.8,19,1.99,1904
鱼,8.0,727,0,13709
消失的云彩,7.6,15,0.99,434
乌鸦传说,0,0,0.99,575
摇滚乐入门级装腔指南（上）,8.4,216,0,23463
五代十国的枭雄们 5：沙陀的皇朝,9.4,46,3.99,10733
你不知道的餐饮那些事,7.8,1032,1.99,53155
有趣的《道德经》,7.6,12,0,96215
情感问答 3,8.8,130,1.99,31191
